ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
2394,BMW,2,14,South West,5,1496,2016,1395,89,0.119,0.037,,,0.006139703
2059,FORD,2,14,South West,5,1499,2016,1421,99,0.294,0.039,,,0.944025208
404,VOLKSWAGEN,2,14,London,1,1896,2002,1396,146,0.081,0.376,0.029,,0.422397882
2236,VAUXHALL,2,14,South West,5,1248,2016,1225,87,0.141,0.063,,,0.195861138
1895,BMW,1,6,South West,1,1998,2016,1615,146,0.476,0.033,,0.048,0.210506959
3623,VAUXHALL,1,14,South West,2,1398,2016,1163,120,0.463,0.01,,0.031,0.777920385
1898,VOLKSWAGEN,1,14,South West,1,1984,2016,1373,139,0.341,0.056,,0.053,0.578087382
1492,FORD,2,6,South West,5,1997,2016,1679,126,0.357,0.043,,,0.059058321
2268,BMW,8,6,London,1,1997,2016,2305,78,0.185,0.015,,0.014,0.428757217
2832,VOLKSWAGEN,1,14,North West,2,999,2016,1055,106,0.407,0.016,,0.034,0.663225194
2665,FORD,2,96,London,5,1499,2016,1533,109,0.338,0.07,,,0.180531451
1967,FORD,1,14,South West,2,1596,2016,1144,138,0.314,0.017,,0.037,0.693230324
105,FORD,1,13,North West,1,1299,2002,1006,171,0.66,0.095,,0.11,0.476897637
779,VAUXHALL,1,13,London,2,1199,2002,1430,154,0.211,0.031,,0.052,0.939691905
3755,FORD,1,13,South West,2,1242,2016,989,115,0.362,0.024,,0.043,0.237806736
527,TOYOTA,1,4,London,1,1794,2002,1050,178,1.01,0.01,,0.06,0.56921813
1866,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.468530511
640,VAUXHALL,2,6,North West,1,1995,2002,2040,157,0.191,0.429,0.043,,0.33874182
1319,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.861451638
2510,VAUXHALL,1,14,South West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.664302083
768,VOLKSWAGEN,2,6,South West,1,1896,2002,1577,154,0.151,0.382,0.023,,0.057832313
18,VOLKSWAGEN,1,13,London,4,1390,2002,1012,149,0.294,0.03,,0.067,0.302426023
1772,VAUXHALL,2,14,North West,1,1956,2016,1613,118,0.08,0.06,,,0.131674473
1674,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.242056339
462,VOLKSWAGEN,2,13,South West,1,1896,2002,1407,146,0.177,0.363,0.024,,0.675109901
457,VAUXHALL,1,13,South West,2,973,2002,1430,135,0.342,0.048,,0.06,0.791552728
2829,BMW,2,5,North West,1,2993,2016,2140,159,0.186,0.057,,,0.492553161
2788,FORD,2,14,North West,2,1997,2016,1681,122,0.145,0.059,0.001,,0.152617542
1975,VOLKSWAGEN,1,14,London,2,999,2016,1055,108,0.535,0.012,,0.039,0.662776048
2684,VAUXHALL,1,6,London,5,1399,2016,1350,128,0.484,0.006,0.002,0.037,0.235598499
2497,VAUXHALL,2,14,London,5,1598,2016,1350,97,0.243,0.029,,,0.323150247
2930,FORD,2,14,North West,1,1997,2016,1788,134,0.351,0.065,0.002,,0.584834066
2661,TOYOTA,1,14,London,5,1329,2016,1123,114,0.348,0.007,,0.043,0.012285786
1299,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.156739568
707,VAUXHALL,1,13,North West,4,973,2002,1405,135,0.342,0.048,,0.06,0.820515405
276,FORD,2,6,North West,1,1998,2002,0,159,0.016,0.43,,,0.402792003
2615,VOLKSWAGEN,1,14,London,1,1395,2016,1280,112,0.252,0.04,,0.055,0.140636803
1442,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.385092444
1540,BMW,8,2,South West,5,1998,2016,1735,45,0.082,0.006,,0.017,0.250616042
722,VOLKSWAGEN,2,6,South West,4,2496,2002,1695,192,0.314,0.318,0.034,,0.199703897
3212,FORD,1,14,North West,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.113825075
2834,FORD,1,14,North West,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.228664461
1544,VAUXHALL,2,6,South West,5,1598,2016,1393,104,0.17,0.032,0.001,,0.571113838
2329,VOLKSWAGEN,1,14,London,1,1197,2016,1107,107,0.157,0.039,,0.022,0.484011979
3023,VOLKSWAGEN,2,14,North West,5,1598,2016,1321,99,0.167,0.069,,,0.450401022
304,VOLKSWAGEN,1,13,South West,1,1390,2002,1152,158,0.308,0.042,,0.064,0.079649226
844,FORD,2,6,North West,1,1753,2002,1295,145,0.109,0.489,0.044,0.018,0.541663741
1498,VAUXHALL,1,14,North West,1,1364,2016,1409,149,0.699,0.008,,0.044,0.302113955
3092,FORD,2,14,South West,5,1997,2016,1773,135,0.217,0.078,,,0.744712899
2503,VAUXHALL,2,14,London,5,1598,2016,1350,103,0.17,0.032,0.001,,0.75741967
2962,FORD,2,96,North West,5,1499,2016,1608,119,0.353,0.076,0.001,,0.118631722
2556,FORD,1,14,London,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.580749364
2095,VAUXHALL,1,14,South West,5,1398,2016,1163,112,0.39,0.023,,0.031,0.012119668
357,FORD,1,14,South West,2,1596,2002,1189,192,0.518,0.059,,0.115,0.723765154
3514,VOLKSWAGEN,1,14,South West,5,1395,2016,1247,120,0.158,0.034,,0.028,0.231745062
104,VOLKSWAGEN,1,13,London,2,1198,2002,1093,142,0.68,0.042,,0.03,0.030257469
1555,BMW,2,6,London,1,2993,2016,1770,151,0.341,0.053,,,0.470772081
2395,FORD,1,14,London,1,1242,2016,1095,122,0.518,0.027,,0.051,0.473132727
211,VAUXHALL,1,14,London,1,1598,2002,1660,171,0.695,0.019,,0.054,0.038313107
339,VOLKSWAGEN,2,14,North West,1,1896,2002,1353,138,0.073,0.33,0.025,,0.212095811
894,FORD,1,14,South West,1,1796,2002,1195,181,0.895,0.043,,0.091,0.666725692
3823,BMW,2,2,North West,1,2993,2016,1810,148,0.394,0.071,,,0.721859654
3294,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.518692882
22,VOLKSWAGEN,2,2,London,1,1896,2002,1388,138,0.073,0.33,0.025,,0.624393721
1273,FORD,1,13,North West,1,1299,2002,965,163,0.66,0.037,,0.09,0.83547189
3169,VOLKSWAGEN,1,6,North West,2,1984,2016,1574,162,0.609,0.047,,0.06,0.722203212
1170,VAUXHALL,1,4,South West,1,1796,2002,1745,192,0.627,0.008,,0.035,0.103905793
4,TOYOTA,1,14,London,4,1598,2002,1295,168,0.55,0.03,,0.06,0.273675892
3473,VAUXHALL,1,14,London,1,1398,2016,1199,137,0.645,0.008,,0.044,0.369063164
139,FORD,2,14,South West,1,1399,2002,1145,114,0.154,0.423,0.036,,0.291330002
294,VOLKSWAGEN,2,2,South West,2,1896,2002,1388,138,0.073,0.33,0.025,,0.959467048
2683,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.894069589
2755,TOYOTA,8,14,London,1,1798,2016,1470,76,0.131,0.016,,0.033,0.577121985
1962,VOLKSWAGEN,1,13,London,2,1197,2016,1316,123,0.2,0.02,,0.025,0.237177667
1893,VAUXHALL,1,13,London,1,1364,2016,1199,122,0.276,0.013,,0.019,0.318836866
1530,VAUXHALL,1,14,South West,5,1398,2016,1199,139,0.645,0.008,,0.044,0.959310453
2372,FORD,2,96,London,5,1499,2016,1596,119,0.353,0.076,0.001,,0.189480439
1223,FORD,2,14,South West,2,1399,2002,1166,117,0.154,0.423,0.036,,0.622337086
3609,VAUXHALL,1,13,South West,1,1398,2016,1141,118,0.463,0.01,,0.031,0.153126041
3361,FORD,2,96,South West,5,1499,2016,1564,113,0.459,0.054,,,0.769241685
97,FORD,1,14,South West,1,1796,2002,1195,181,0.895,0.043,,0.091,0.84739987
3553,VOLKSWAGEN,1,14,London,1,1197,2016,1107,107,0.157,0.039,,0.022,0.027329614
2944,VOLKSWAGEN,1,14,South West,5,1984,2016,1505,159,0.609,0.047,,0.06,0.217921114
1233,VOLKSWAGEN,1,13,South West,1,1390,2002,1152,158,0.308,0.042,,0.064,0.075936638
1092,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.268050257
3685,VOLKSWAGEN,1,13,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.656225742
985,FORD,1,14,London,2,1596,2002,1189,192,0.518,0.059,,0.115,0.617452277
563,BMW,1,5,South West,1,3246,2002,1450,268,0.857,0.056,,0.108,0.987438129
3211,VOLKSWAGEN,1,14,North West,5,999,2016,929,106,0.406,0.013,,0.037,0.455402474
1111,VOLKSWAGEN,2,14,London,1,1896,2002,1379,138,0.073,0.33,0.025,,0.120863977
1850,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.89608455
3388,FORD,1,14,South West,1,999,2016,1333,108,0.447,0.03,0.002,0.076,0.512013003
710,TOYOTA,1,13,North West,2,998,2002,1040,137,0.43,0.03,,0.12,0.599784026
1182,VAUXHALL,1,14,South West,1,973,2002,1405,135,0.342,0.048,,0.06,0.719772695
3007,VAUXHALL,2,14,North West,5,1598,2016,1613,109,0.035,0.026,,,0.022661151
1252,VOLKSWAGEN,1,13,South West,1,1781,2002,1372,194,0.646,0.017,,0.047,0.208672497
2087,BMW,8,6,South West,5,1997,2016,2305,78,0.185,0.015,,0.014,0.143072976
3697,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.59675708
3320,VAUXHALL,1,14,South West,2,999,2016,1034,104,0.407,0.006,,0.02,0.994013964
1908,VOLKSWAGEN,1,14,London,4,999,2016,1055,106,0.407,0.016,,0.034,0.312684112
1585,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.272356872
942,FORD,1,14,South West,1,1798,2002,1396,187,0.375,0.091,,0.077,0.842838401
3077,FORD,2,14,South West,5,1997,2016,1648,117,0.311,0.073,,,0.891970346
575,VOLKSWAGEN,1,14,London,1,1781,2002,1384,190,0.667,0.03,,0.054,0.441489324
1574,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.676030829
487,VAUXHALL,1,14,South West,1,1199,2002,1455,154,0.211,0.031,,0.052,0.601296755
2559,VAUXHALL,1,14,London,5,1399,2016,1234,124,0.507,0.012,,0.021,0.422253403
265,TOYOTA,1,14,London,1,1598,2002,1325,190,0.45,0.02,,0.05,0.977497027
2851,VAUXHALL,2,13,North West,5,1598,2016,1503,111,0.104,0.042,,,0.476578351
2325,VOLKSWAGEN,2,14,North West,5,1968,2016,1373,112,0.1,0.07,,,0.079799116
1243,VOLKSWAGEN,1,14,North West,1,1390,2002,1236,161,0.172,0.055,,0.066,0.255798373
905,TOYOTA,1,13,South West,2,1299,2002,1050,157,0.7,0.05,,0.12,0.733728734
2806,VAUXHALL,2,6,North West,5,1598,2016,1701,129,0.013,0.033,,,0.587478914
2555,VOLKSWAGEN,1,14,London,1,1395,2016,1316,113,0.242,0.033,,0.048,0.792561096
2645,VOLKSWAGEN,1,14,London,1,1197,2016,1107,107,0.157,0.039,,0.022,0.207374116
2186,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.245642952
2963,FORD,2,14,North West,2,1997,2016,1474,105,0.328,0.068,,,0.053147301
683,FORD,1,14,North West,1,1596,2002,1152,165,0.518,0.059,,0.115,0.088624069
469,VOLKSWAGEN,2,14,South West,1,1896,2002,1285,140,0.436,0.314,0.036,,0.797938113
1517,FORD,2,14,South West,2,1499,2016,1170,94,0.351,0.051,,,0.063791322
2977,FORD,2,14,North West,5,1499,2016,1399,99,0.354,0.074,,,0.105177863
1695,VOLKSWAGEN,1,13,North West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.260059904
2514,TOYOTA,1,14,London,2,998,2016,1066,99,0.387,0.014,,0.038,0.478621609
2525,BMW,2,2,South West,5,1995,2016,1700,110,0.332,0.054,,,0.189147022
2567,BMW,1,2,London,1,1998,2016,1505,134,0.213,0.022,,0.053,0.308666943
1335,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,109,0.137,0.067,,,0.325726022
490,BMW,1,2,London,1,2979,2002,1635,257,0.46,0.012,,0.06,0.383850882
1373,FORD,2,14,South West,5,1499,2016,1170,94,0.351,0.051,,,0.04137973
2442,TOYOTA,8,14,London,5,1798,2016,1470,70,0.131,0.016,,0.033,0.997823058
3165,FORD,1,13,North West,2,1242,2016,1088,122,0.518,0.027,,0.051,0.531900019
552,VAUXHALL,2,6,London,1,1686,2002,1815,132,0.101,0.429,0.031,,0.810076064
1576,VAUXHALL,2,96,South West,5,1598,2016,1923,145,0.316,0.041,,,0.37880701
551,BMW,1,2,South West,1,1995,2002,1395,175,0.852,0.05,,0.102,0.927675831
1596,TOYOTA,1,13,North West,2,998,2016,925,95,0.59,0.008,,0.033,0.378194839
3386,VAUXHALL,2,14,North West,1,1598,2016,1449,106,0.081,0.042,0.003,,0.213493842
3719,VAUXHALL,1,13,South West,2,1229,2016,1086,125,0.474,0.013,,0.038,0.737215274
636,BMW,1,2,London,1,1796,2002,0,172,0.76,,,,0.898732815
2013,BMW,1,14,London,1,1499,2016,1395,122,0.215,0.01,,0.037,0.980136227
971,VOLKSWAGEN,2,2,London,1,1896,2002,1522,154,0.151,0.382,0.023,,0.643234638
40,VOLKSWAGEN,1,14,London,1,1595,2002,1315,194,0.48,0.044,,0.058,0.863944031
3139,BMW,1,5,North West,1,2998,2016,1630,159,0.282,0.015,,0.057,0.331729965
983,VOLKSWAGEN,2,14,London,1,1896,2002,1413,146,0.177,0.363,0.024,,0.930599128
2143,VOLKSWAGEN,2,14,South West,1,1598,2016,1321,99,0.167,0.069,,,0.406603885
255,FORD,1,14,London,1,1999,2002,1396,192,0.427,0.078,,0.109,0.270417977
2813,FORD,2,14,North West,5,1499,2016,1553,94,0.407,0.07,,,0.245089521
3172,BMW,2,2,North West,1,1995,2016,1705,119,0.144,0.031,,,0.989465651
2231,VOLKSWAGEN,1,14,South West,5,1197,2016,1107,107,0.157,0.039,,0.022,0.662173342
3130,FORD,2,14,South West,5,1997,2016,1524,110,0.243,0.067,,,0.312457918
752,VOLKSWAGEN,2,14,London,1,1896,2002,1408,146,0.177,0.363,0.024,,0.814909826
1212,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.813821252
1688,VAUXHALL,1,14,North West,1,1364,2016,1394,145,0.593,0.011,,0.03,0.312688771
1618,BMW,2,14,South West,5,1995,2016,1450,118,0.18,0.023,,,0.245540879
838,VOLKSWAGEN,1,13,North West,1,1198,2002,1092,142,0.474,0.015,,0.032,0.0928164
1032,BMW,1,2,North West,1,2494,2002,1605,247,0.382,0.006,,0.045,0.836100619
1837,VAUXHALL,2,14,South West,5,1956,2016,1613,118,0.08,0.06,,,0.808575985
1784,VAUXHALL,1,14,North West,4,1598,2016,1355,159,0.809,0.012,,0.051,0.746449749
1146,VOLKSWAGEN,1,13,South West,2,1390,2002,1003,149,0.294,0.03,,0.067,0.182136916
428,TOYOTA,1,14,London,1,1299,2002,0,160,0.7,0.05,,0.12,0.339788456
58,FORD,1,6,South West,2,1596,2002,1180,165,0.518,0.059,,0.115,0.560732514
3087,TOYOTA,2,6,London,4,2755,2016,2395,194,0.071,0.041,,,0.225680754
3743,FORD,1,96,South West,2,998,2016,1327,119,0.32,0.045,0.001,0.051,0.261290094
12,VOLKSWAGEN,2,2,North West,1,1896,2002,1423,146,0.081,0.376,0.029,,0.49301916
1698,VOLKSWAGEN,2,14,North West,2,1422,2016,1152,88,0.141,0.042,,,0.913918808
1208,FORD,2,6,South West,1,1998,2002,1547,159,0.204,0.443,0.026,,0.113687819
606,VOLKSWAGEN,1,14,London,2,1390,2002,1238,161,0.172,0.055,,0.066,0.706190596
1706,VAUXHALL,1,14,North West,5,999,2016,1263,102,0.484,0.021,0.002,0.036,0.717971405
2337,FORD,1,14,London,2,999,2016,1333,108,0.447,0.03,0.002,0.076,0.057029092
2407,VAUXHALL,2,96,London,5,1956,2016,1733,137,0.154,0.051,,,0.388352944
1042,VAUXHALL,1,13,South West,2,1199,2002,1455,154,0.211,0.031,,0.052,0.545251352
3306,FORD,1,14,London,5,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.05093567
225,FORD,1,2,North West,1,2495,2002,1506,238,0.174,0.019,,0.059,0.090250162
315,VAUXHALL,1,14,South West,2,1199,2002,1455,154,0.211,0.031,,0.052,0.82717762
398,FORD,1,14,South West,1,1796,2002,1204,181,0.895,0.043,,0.091,0.988969355
152,VAUXHALL,1,13,North West,2,1199,2002,1430,154,0.211,0.031,,0.052,0.674944617
2843,BMW,2,2,North West,1,1995,2016,1705,119,0.144,0.031,,,0.237357617
393,VOLKSWAGEN,2,6,South West,1,1896,2002,0,146,0.081,,,,0.005066035
2164,FORD,2,96,South West,1,1997,2016,1816,129,0.239,0.048,,,0.162266251
3121,FORD,1,14,North West,2,998,2016,1364,125,0.428,0.037,0.001,0.053,0.630936458
3572,VAUXHALL,1,13,South West,5,1364,2016,1471,154,0.362,0.015,,0.027,0.653009583
1360,BMW,8,6,South West,5,1997,2016,2305,77,0.185,0.015,,0.014,0.343327711
2028,FORD,2,14,South West,5,1499,2016,1170,94,0.351,0.051,,,0.027206412
1663,VAUXHALL,2,14,North West,5,1598,2016,1462,134,0.058,0.054,,,0.748066076
825,FORD,1,13,North West,2,1299,2002,965,154,0.395,0.103,,0.061,0.323304556
279,VOLKSWAGEN,2,13,South West,1,1896,2002,0,140,0.029,,,,0.794149919
3416,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.98545004
855,VOLKSWAGEN,2,2,South West,1,1896,2002,1523,154,0.151,0.382,0.023,,0.628076307
2581,VOLKSWAGEN,1,14,London,1,1197,2016,1107,107,0.157,0.039,,0.022,0.335513211
1820,VAUXHALL,2,14,North West,5,1598,2016,1488,94,0.056,0.046,,,0.315569592
2709,VOLKSWAGEN,1,13,North West,1,1984,2016,1495,159,0.609,0.047,,0.06,0.334060362
2878,FORD,1,14,North West,5,1498,2016,1645,143,0.913,0.058,0.002,0.054,0.657923908
130,FORD,1,14,South West,1,1388,2002,1163,158,0.662,0.052,,0.137,0.273180843
3811,FORD,2,14,South West,5,1997,2016,1681,122,0.215,0.057,,,0.731768469
2536,VAUXHALL,1,13,London,1,1398,2016,1141,120,0.463,0.01,,0.031,0.835880454
2794,FORD,2,96,North West,5,1499,2016,1596,119,0.353,0.076,0.001,,0.298455498
3681,VAUXHALL,1,14,South West,5,1364,2016,1409,149,0.699,0.008,,0.044,0.47196816
29,VOLKSWAGEN,2,14,South West,2,1896,2002,1379,138,0.073,0.33,0.025,,0.542992207
795,VOLKSWAGEN,1,14,North West,2,1595,2002,1316,194,0.48,0.044,,0.058,0.770807873
1029,TOYOTA,1,13,North West,2,998,2002,1040,137,0.43,0.03,,0.12,0.719322655
3691,VAUXHALL,2,6,South West,5,1598,2016,1393,104,0.17,0.032,0.001,,0.543888077
2551,VAUXHALL,1,96,London,5,1364,2016,1471,166,0.439,0.024,,0.03,0.658778864
314,BMW,1,6,London,1,2494,2002,1680,235,0.441,0.016,,0.057,0.318798697
2410,TOYOTA,8,14,London,5,1798,2016,1470,70,0.131,0.016,,0.033,0.830359222
616,VAUXHALL,1,14,London,1,1598,2002,1660,197,0.357,0.029,,0.044,0.131463368
632,FORD,1,6,North West,2,1596,2002,1227,200,0.518,0.059,,0.115,0.348116459
1991,FORD,1,14,London,2,998,2016,1335,125,0.428,0.037,0.001,0.053,0.460133015
580,VOLKSWAGEN,1,13,London,4,1198,2002,1103,142,0.68,0.042,,0.03,0.282749852
1665,VOLKSWAGEN,2,14,South West,5,1968,2016,1429,127,0.067,0.07,,,0.142798465
2980,FORD,2,96,North West,5,1499,2016,1641,129,0.259,0.065,,,0.780757734
131,FORD,1,14,South West,2,1596,2002,1189,192,0.518,0.059,,0.115,0.659351751
3603,VOLKSWAGEN,1,13,South West,1,999,2016,929,105,0.457,0.013,,0.039,0.13228512
1024,VOLKSWAGEN,1,14,South West,1,1390,2002,1150,154,0.165,0.047,,0.075,0.98106152
3467,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,106,0.137,0.067,,,0.775200988
611,BMW,1,3,London,2,3498,2002,0,286,0.374,,,,0.661625815
3458,VOLKSWAGEN,2,2,South West,5,1598,2016,1444,105,0.243,0.039,,,0.738461825
2002,FORD,1,14,London,2,1498,2016,1756,171,0.559,0.04,0.004,0.045,0.347951096
1175,VOLKSWAGEN,2,14,South West,1,1896,2002,1379,138,0.073,0.33,0.025,,0.766158517
2434,VOLKSWAGEN,2,96,London,5,1968,2016,1843,136,0.052,0.06,,,0.030516321
3228,VAUXHALL,2,14,North West,5,1956,2016,1664,147,0.078,0.062,,,0.591463344
3136,VOLKSWAGEN,1,14,North West,1,1395,2016,1238,108,0.16,0.026,,0.041,0.500418205
1964,FORD,2,2,South West,5,1997,2016,1663,130,0.239,0.043,,,0.627267955
712,VOLKSWAGEN,1,13,North West,1,1781,2002,1324,190,0.667,0.03,,0.054,0.097316217
3026,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.121297212
415,VOLKSWAGEN,2,13,London,1,1422,2002,1222,122,0.075,0.386,0.025,,0.638632572
2721,FORD,2,6,South West,5,1499,2016,1446,99,0.294,0.039,,,0.00787597
3556,VOLKSWAGEN,1,13,South West,2,1197,2016,1139,109,0.199,0.018,,0.035,0.364979171
564,VOLKSWAGEN,2,14,South West,4,1896,2002,1413,146,0.177,0.363,0.024,,0.550824893
997,VOLKSWAGEN,2,6,South West,1,1896,2002,1594,159,0.18,0.313,0.04,,0.92406307
1344,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.694503458
2533,BMW,1,4,London,2,1997,2016,1605,152,0.262,0.035,,0.035,0.342786584
174,VAUXHALL,1,14,London,1,1199,2002,1455,154,0.211,0.031,,0.052,0.902421279
254,FORD,1,14,London,2,1596,2002,1167,165,0.518,0.059,,0.115,0.884550227
504,VAUXHALL,1,14,South West,1,973,2002,1430,135,0.342,0.048,,0.06,0.955764258
1902,FORD,2,96,London,5,1499,2016,1596,119,0.338,0.07,,,0.707160901
2872,FORD,1,5,North West,1,2261,2016,1734,179,0.415,0.019,0.002,0.037,0.349101945
488,FORD,1,14,North West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.340744716
2445,FORD,1,14,South West,5,998,2016,1168,114,0.206,0.034,,0.05,0.460373462
3025,BMW,8,14,North West,2,647,2016,1390,13,0.053,0.002,,0.003,0.621042303
1656,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.955134928
50,VOLKSWAGEN,1,14,London,1,1598,2002,1307,168,0.504,0.047,,0.083,0.426896592
2605,VAUXHALL,1,14,South West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.221554644
2097,VAUXHALL,2,96,South West,5,1598,2016,1923,145,0.316,0.041,,,0.587122749
2769,VAUXHALL,1,14,North West,1,1598,2016,1355,159,0.809,0.012,,0.051,0.746618773
1701,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.56766984
93,VOLKSWAGEN,2,6,South West,1,1896,2002,1470,146,0.081,0.376,0.029,,0.356275683
3412,VOLKSWAGEN,2,6,South West,5,1968,2016,1436,110,0.1,0.07,,,0.843687922
1653,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.392597867
3621,FORD,2,96,South West,5,1499,2016,1461,105,0.419,0.043,,,0.280334576
16,VAUXHALL,1,14,London,1,1598,2002,1660,197,0.357,0.029,,0.044,0.42920288
1139,FORD,2,6,South West,1,1753,2002,1295,145,0.109,0.489,0.044,0.018,0.216244279
1702,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.339551428
981,VAUXHALL,1,14,North West,1,1598,2002,1660,171,0.695,0.019,,0.054,0.618344465
682,TOYOTA,1,14,North West,1,1598,2002,1290,168,0.55,0.03,,0.06,0.544377204
2732,TOYOTA,8,14,South West,1,1798,2016,1470,70,0.131,0.016,,0.033,0.141325261
148,VAUXHALL,1,13,South West,2,1199,2002,1430,154,0.211,0.031,,0.052,0.634262498
911,FORD,1,3,London,1,1242,2002,0,161,0.296,,,,0.128560266
2519,VOLKSWAGEN,1,14,London,5,1197,2016,1139,109,0.199,0.018,,0.035,0.347761742
386,VOLKSWAGEN,1,13,South West,2,1781,2002,1370,194,0.646,0.017,,0.047,0.379778172
1019,BMW,1,5,South West,1,2494,2002,1485,217,0.494,0.017,,0.079,0.09877246
3221,VOLKSWAGEN,1,14,North West,1,1984,2016,1486,165,0.522,0.05,,0.053,0.864679239
1666,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.093004828
2397,VOLKSWAGEN,1,14,London,4,1395,2016,1247,120,0.158,0.034,,0.028,0.808370727
2554,VAUXHALL,1,13,London,1,1398,2016,1163,135,0.645,0.008,,0.044,0.924456514
937,VOLKSWAGEN,1,14,London,1,1198,2002,1132,0,0.68,0.042,,0.03,0.67617798
2883,FORD,1,5,North West,1,2261,2016,1730,225,0.472,0.029,0.002,0.045,0.076581346
1009,VAUXHALL,2,6,North West,1,2172,2002,2450,235,0.311,0.652,0.051,,0.886716047
1744,VOLKSWAGEN,1,13,North West,1,1984,2016,1402,147,0.362,0.029,,0.053,0.875737454
1880,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.776936677
3748,BMW,1,5,North West,1,2979,2016,1595,185,0.196,0.015,,0.05,0.850969139
179,TOYOTA,1,96,North West,1,1998,2002,1610,202,1.08,0.06,,0.09,0.991503043
521,VOLKSWAGEN,2,14,South West,1,1896,2002,0,140,0.081,,,,0.222092079
2539,VAUXHALL,2,14,South West,5,1598,2016,1350,103,0.17,0.032,0.001,,0.980054464
3408,BMW,2,6,North West,1,1995,2016,1625,129,0.103,0.018,,,0.378580966
2356,FORD,2,96,London,5,1997,2016,1672,129,0.198,0.027,,,0.622755461
2888,VOLKSWAGEN,1,14,North West,2,1197,2016,1139,109,0.199,0.018,,0.035,0.592465183
3759,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.199766054
2591,VOLKSWAGEN,1,14,London,2,999,2016,932,103,0.522,0.018,,0.045,0.656861915
2377,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.590895326
2111,FORD,1,14,South West,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.329950605
2101,FORD,1,13,South West,5,998,2016,1175,104,0.33,0.031,0.001,0.06,0.116414908
189,FORD,1,14,London,2,1596,2002,1167,165,0.518,0.059,,0.115,0.421021161
3310,VOLKSWAGEN,2,96,London,5,1968,2016,1843,136,0.052,0.06,,,0.687423608
746,VOLKSWAGEN,1,13,South West,1,1198,2002,1092,142,0.474,0.015,,0.032,0.413564215
1725,VAUXHALL,1,14,North West,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.529601382
3761,FORD,2,96,South West,5,1997,2016,1643,119,0.278,0.051,,,0.658859091
3171,FORD,2,96,North West,5,1997,2016,1816,129,0.204,0.02,,,0.049104685
3333,BMW,2,14,South West,5,1496,2016,1425,103,0.086,0.025,,,0.148255327
808,FORD,1,14,North West,2,1388,2002,1163,158,0.662,0.052,,0.137,0.914617439
1531,VAUXHALL,1,14,South West,5,1398,2016,1199,139,0.645,0.008,,0.044,0.696122301
3051,FORD,2,96,North West,5,1997,2016,1643,119,0.278,0.051,,,0.402094572
